brand,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Honda,,2019.0,1100000.0,50000,Diesel,Individual,Manual,Second Owner,21.9 kmpl,1498 CC,98.6 bhp,7.0
Hyundai,Xcent,2016.0,380000.0,80000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71 bhp,5.0
Tata,New,2011.0,,120000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,7.0
Maruti,Swift,2011.0,325000.0,70000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,5.0
Mahindra,KUV,2016.0,400000.0,130000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,6.0
Renault,Lodgy,2017.0,800000.0,50000,Diesel,Individual,Manual,First Owner,21.04 kmpl,1461 CC,83.8 bhp,8.0
Ford,EcoSport,2018.0,950000.0,80000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
Maruti,Swift,2013.0,300000.0,120000,Diesel,Individual,Manual,Fourth & Above Owner,22.9 kmpl,1248 CC,74 bhp,5.0
Mahindra,KUV,2017.0,,59000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5.0
Chevrolet,Enjoy,2013.0,350000.0,100000,Diesel,Individual,Manual,Third Owner,18.2 kmpl,1248 CC,73.8 bhp,7.0
Hyundai,Sonata,2008.0,168000.0,50000,Petrol,Individual,Automatic,First Owner,11.0 kmpl,2359 CC,165 bhp,5.0
Renault,KWID,2016.0,240000.0,45000,Petrol,Individual,Manual,Second Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Maruti,Swift,2010.0,220000.0,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0
Maruti,Wagon,2008.0,110000.0,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,1061 CC,67 bhp,5.0
,Vitara,2016.0,850000.0,100000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,
Toyota,Innova,2018.0,2064000.0,24000,Diesel,Individual,Manual,First Owner,13.68 kmpl,2393 CC,147.8 bhp,8.0
Maruti,S-Cross,,950000.0,25000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0
Hyundai,EON,2013.0,200000.0,68697,Petrol,Individual,Manual,Third Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
Maruti,Swift,2017.0,660000.0,30000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0
Honda,,2013.0,420000.0,40000,Diesel,Individual,Manual,Second Owner,25.8 kmpl,1498 CC,98.6 bhp,5.0
Tata,Indica,2010.0,150000.0,29000,Petrol,Individual,Manual,First Owner,16.5 kmpl,1172 CC,65 bhp,5.0
Chevrolet,Beat,2013.0,,68000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,57.6 bhp,5.0
Honda,Amaze,2018.0,750000.0,15000,Petrol,Individual,Automatic,First Owner,18.1 kmpl,1199 CC,88.7 bhp,5.0
Maruti,Ritz,2014.0,425000.0,70000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0
Toyota,Corolla,2015.0,790000.0,126000,Diesel,Individual,Manual,Third Owner,21.43 kmpl,1364 CC,87.2 bhp,5.0
Toyota,Innova,2011.0,,300000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,7.0
Honda,Mobilio,2015.0,650000.0,94000,Diesel,Individual,Manual,Second Owner,24.5 kmpl,1498 CC,98.6 bhp,7.0
Toyota,Corolla,2015.0,780000.0,129000,Diesel,Individual,Manual,Third Owner,21.43 kmpl,1364 CC,87.2 bhp,5.0
Hyundai,,2010.0,180000.0,55000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
Ford,EcoSport,2019.0,869999.0,40000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
Tata,Manza,2011.0,275000.0,50000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,5.0
Hyundai,i20,2017.0,630000.0,25000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Toyota,Corolla,2008.0,150000.0,60000,Petrol,Individual,Manual,Second Owner,13.4 kmpl,1794 CC,125 bhp,5.0
Maruti,Alto,2016.0,315000.0,25000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
Tata,Indigo,2011.0,189000.0,70000,Diesel,Individual,Manual,Second Owner,23.57 kmpl,1396 CC,70 bhp,5.0
Maruti,Swift,2014.0,580000.0,120000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
Maruti,Vitara,2018.0,825000.0,35000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Tata,Safari,2016.0,650000.0,60000,Diesel,Individual,Manual,Second Owner,14.1 kmpl,2179 CC,148 bhp,7.0
Honda,City,2004.0,50000.0,62000,Petrol,Individual,Manual,Second Owner,13.0 kmpl,1343 CC,90 bhp,5.0
Skoda,Fabia,2011.0,200000.0,120000,Petrol,Individual,Manual,Second Owner,16.25 kmpl,1198 CC,73.9 bhp,5.0
Tata,Venture,2013.0,135000.0,120000,Diesel,Individual,Manual,Third Owner,15.42 kmpl,1405 CC,70 bhp,7.0
Hyundai,i20,2017.0,680000.0,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
Hyundai,i20,2017.0,670000.0,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
BMW,5,2010.0,1000000.0,60000,Diesel,Individual,Automatic,First Owner,16.73 kmpl,1995 CC,218 bhp,5.0
Maruti,Alto,2010.0,240000.0,80000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
Force,One,2014.0,555000.0,147279,Diesel,Individual,Manual,Second Owner,17.0 kmpl,2200 CC,139.01 bhp,7.0
Skoda,Rapid,2013.0,455000.0,98000,Diesel,Individual,Manual,First Owner,20.5 kmpl,1598 CC,103.5 bhp,5.0
,,2018.0,750000.0,25000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
Maruti,Swift,2016.0,700000.0,90000,Diesel,Individual,Automatic,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0
Tata,Nano,2016.0,220000.0,22000,Petrol,Individual,Automatic,First Owner,21.9 kmpl,624 CC,37.48 bhp,4.0
Tata,Indica,2014.0,160000.0,120000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,5.0
Chevrolet,Sail,2013.0,225000.0,100000,Diesel,Individual,Manual,Second Owner,22.1 kmpl,1248 CC,76.9 bhp,5.0
Tata,Indigo,2008.0,140000.0,120000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,5.0
Maruti,Swift,2014.0,600000.0,70000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,5.0
Mahindra,XUV500,2015.0,1000000.0,24700,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0
Chevrolet,Spark,2008.0,65000.0,100000,Petrol,Individual,Manual,Third Owner,18.0 kmpl,995 CC,62 bhp,5.0
,Ignis,2019.0,500000.0,10000,Petrol,Individual,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,5.0
Mahindra,XUV500,2017.0,1150000.0,43526,Diesel,Dealer,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0
Skoda,Fabia,2012.0,320000.0,55885,Petrol,Dealer,Manual,First Owner,16.25 kmpl,1198 CC,75 bhp,5.0
Ford,Ecosport,2019.0,,16034,Diesel,Dealer,Manual,First Owner,21.7 kmpl,1498 CC,98.96 bhp,5.0
Ford,Figo,2012.0,250000.0,156040,Diesel,Dealer,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Ford,Endeavour,2004.0,400000.0,93415,Diesel,Dealer,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,7.0
BMW,5,2008.0,1100000.0,122000,Diesel,Individual,Automatic,Second Owner,18.48 kmpl,1995 CC,177 bhp,5.0
Maruti,Baleno,2017.0,600000.0,20000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0
Maruti,Swift,2017.0,509999.0,46000,Petrol,Individual,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
Skoda,Rapid,2016.0,395000.0,50000,Petrol,Individual,Manual,Third Owner,15.41 kmpl,1598 CC,103.2 bhp,5.0
Maruti,Wagon,,469000.0,5000,Petrol,Individual,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,5.0
Maruti,Alto,2017.0,,42000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
Chevrolet,Spark,2011.0,130000.0,68519,Petrol,Dealer,Manual,First Owner,16.2 kmpl,995 CC,62.1 bhp,5.0
Ford,EcoSport,2019.0,906000.0,30000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
Ford,Figo,2011.0,160000.0,85000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Maruti,Swift,2012.0,300000.0,88000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,5.0
Maruti,,2010.0,60000.0,100000,Petrol,Individual,Manual,Fourth & Above Owner,14.0 kmpl,796 CC,37.5 bhp,5.0
Maruti,Swift,2014.0,400000.0,100000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,85.8 bhp,5.0
Tata,Tiago,2018.0,450000.0,22966,Petrol,Dealer,Manual,First Owner,23.84 kmpl,1199 CC,84.48 bhp,5.0
Mahindra,Bolero,2014.0,465000.0,80000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
Maruti,Swift,2012.0,325000.0,80000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5.0
Maruti,Alto,2008.0,150000.0,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,EON,2014.0,250000.0,2350,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
Maruti,Alto,2011.0,175000.0,50000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Alto,2010.0,175000.0,58000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Honda,City,2006.0,150000.0,80000,Petrol,Individual,Manual,Second Owner,16.9 kmpl,1497 CC,100 bhp,5.0
Mahindra,Bolero,2018.0,797000.0,60000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,7.0
Hyundai,Elite,2019.0,800000.0,35000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5.0
Mahindra,Bolero,2019.0,750000.0,59872,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
Mahindra,Scorpio,2011.0,,140000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2179 CC,115 bhp,5.0
Maruti,Alto,2012.0,160000.0,110000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Mahindra,Bolero,2016.0,700000.0,91182,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
Maruti,Alto,2010.0,160000.0,60000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,i20,2012.0,400000.0,100000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,5.0
Toyota,Etios,2013.0,451000.0,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,5.0
Maruti,800,2002.0,,80000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0
Tata,Manza,2012.0,300000.0,70000,Diesel,Individual,Manual,Third Owner,21.12 kmpl,1248 CC,88.8 bhp,5.0
Maruti,Celerio,2017.0,421000.0,59500,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
Maruti,Omni,2000.0,80000.0,100000,CNG,Individual,Manual,Second Owner,10.9 km/kg,796 CC, bhp,8.0
Maruti,Vitara,2016.0,950000.0,45000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Hyundai,i20,2011.0,395000.0,75500,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5.0
Maruti,Vitara,2016.0,950000.0,46000,Diesel,Individual,Manual,Second Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,Alto,2013.0,270000.0,60000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
Hyundai,i20,2009.0,360000.0,60000,Petrol,Individual,Automatic,Second Owner,15.0 kmpl,1396 CC,100 bhp,5.0
Maruti,Swift,2008.0,235000.0,152500,Diesel,Individual,Manual,First Owner,17.8 kmpl,1248 CC,75 bhp,5.0
Mercedes-Benz,E-Class,2014.0,1850000.0,60000,Diesel,Individual,Automatic,Second Owner,13.0 kmpl,2143 CC,201.1 bhp,5.0
Jeep,Compass,2017.0,1650000.0,69123,Diesel,Dealer,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,5.0
Honda,Brio,2012.0,376000.0,26000,Petrol,Individual,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,5.0
Ford,Ecosport,2017.0,875000.0,77524,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,5.0
Hyundai,i20,2014.0,459999.0,40523,Petrol,Dealer,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0
Maruti,Swift,,755000.0,39000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,5.0
Audi,A6,2019.0,,7800,Petrol,Dealer,Automatic,Test Drive Car,15.26 kmpl,1798 CC,187.74 bhp,5.0
Audi,A6,2019.0,5923000.0,11500,Petrol,Dealer,Automatic,Test Drive Car,15.26 kmpl,1798 CC,187.74 bhp,5.0
Audi,A6,2019.0,6523000.0,23600,Petrol,Dealer,Automatic,Test Drive Car,15.26 kmpl,1798 CC,187.74 bhp,5.0
Toyota,Fortuner,2010.0,1050000.0,220000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,2982 CC,171 bhp,7.0
Mahindra,XUV500,2015.0,1050000.0,120000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,7.0
Maruti,Baleno,,800000.0,25000,Petrol,Individual,Automatic,First Owner,21.4 kmpl,1197 CC,83.1 bhp,
Maruti,Swift,2015.0,600000.0,31000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,5.0
Maruti,Baleno,2017.0,530000.0,42000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0
Maruti,Swift,2015.0,450000.0,80000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0
Maruti,Alto,2011.0,235000.0,60000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
Maruti,Swift,2013.0,550000.0,240000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
Skoda,Rapid,2013.0,395000.0,35000,Petrol,Individual,Automatic,Second Owner,14.3 kmpl,1598 CC,103.5 bhp,5.0
Tata,Sumo,2008.0,150000.0,120000,Diesel,Individual,Manual,First Owner,12.2 kmpl,1948 CC,68 bhp,9.0
Volkswagen,Vento,2015.0,515000.0,120000,Diesel,Individual,Manual,Second Owner,20.34 kmpl,1498 CC,103.2 bhp,5.0
Ambassador,Grand,2008.0,122000.0,60000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,1995 CC,52 bhp,5.0
Hyundai,i10,2009.0,160000.0,35000,Petrol,Individual,Manual,Third Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
Maruti,Alto,2007.0,110000.0,120000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Swift,2014.0,360000.0,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0
Hyundai,Verna,2011.0,260000.0,90000,Diesel,Individual,Manual,Third Owner,16.2 kmpl,1493 CC,110 bhp,5.0
Maruti,Alto,2007.0,128000.0,60000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,Verna,2015.0,600000.0,80000,Diesel,Individual,Manual,Second Owner,23.9 kmpl,1582 CC,126.2 bhp,5.0
Toyota,Fortuner,2010.0,800000.0,151000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,2982 CC,171 bhp,7.0
Maruti,Swift,2019.0,675000.0,25000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
Maruti,SX4,2010.0,300000.0,50000,Petrol,Individual,Manual,First Owner,15.0 kmpl,1586 CC,104.68 bhp,5.0
Maruti,800,2009.0,125000.0,80000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0
Hyundai,Grand,2017.0,550000.0,25000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5.0
Maruti,Alto,2007.0,150000.0,80000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Mahindra,Scorpio,2017.0,891000.0,80000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7.0
Toyota,Innova,2015.0,1050000.0,70000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
Maruti,Baleno,2018.0,750000.0,15000,Petrol,Individual,Manual,First Owner,21.1 kmpl,998 CC,100.5 bhp,5.0
Hyundai,i20,2012.0,380000.0,27500,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.9 bhp,5.0
Toyota,Innova,2013.0,800000.0,110000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,8.0
Mahindra,Logan,2010.0,200000.0,120000,Petrol,Individual,Manual,First Owner,15.7 kmpl,1390 CC,75 bhp,5.0
Maruti,Ciaz,2016.0,700000.0,70000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0
Toyota,Qualis,2002.0,229999.0,290000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2446 CC,75 bhp,10.0
Honda,Accord,2010.0,300000.0,74000,Petrol,Individual,Manual,Second Owner,12.8 kmpl,2354 CC,177.6 bhp,5.0
Honda,Mobilio,2015.0,670000.0,120000,Diesel,Individual,Manual,First Owner,24.2 kmpl,1498 CC,98.6 bhp,7.0
Honda,City,2007.0,210000.0,140000,Petrol,Individual,Manual,First Owner,17.7 kmpl,1497 CC,78 bhp,5.0
Maruti,Ignis,2017.0,370000.0,40000,Petrol,Individual,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Baleno,2019.0,600000.0,20000,Petrol,Individual,Automatic,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0
Maruti,Vitara,2020.0,810000.0,15000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Tata,Tiago,2019.0,346000.0,16000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5.0
Honda,City,2005.0,55000.0,130000,Petrol,Individual,Manual,First Owner,13.0 kmpl,1343 CC,90 bhp,5.0
Tata,Safari,2012.0,250000.0,118000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7.0
Maruti,Swift,2006.0,120000.0,44000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1298 CC,88.2 bhp,5.0
Maruti,,2013.0,600000.0,50000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.8 bhp,7.0
Maruti,Eeco,2016.0,330000.0,60000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,5.0
Hyundai,i20,2014.0,400000.0,147000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Tata,Indica,2004.0,100000.0,40000,Diesel,Individual,Manual,Second Owner,16.8 kmpl,1405 CC,62 bhp,5.0
Maruti,Swift,2014.0,450000.0,100000,Petrol,Individual,Manual,Third Owner,19.1 kmpl,1197 CC,85.8 bhp,5.0
Maruti,Ertiga,2017.0,800000.0,55000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0
Maruti,Celerio,2015.0,340000.0,40000,Diesel,Individual,Manual,Second Owner,27.62 kmpl,793 CC,47 bhp,5.0
Maruti,Ritz,2010.0,225000.0,64000,Diesel,Individual,Manual,Third Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0
Maruti,Zen,2002.0,55000.0,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5.0
Maruti,Ertiga,2016.0,900000.0,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0
Volvo,S60,2014.0,2500000.0,30000,Diesel,Individual,Automatic,First Owner,9.0 kmpl,1984 CC,181 bhp,5.0
Maruti,Wagon,2018.0,465000.0,30000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
Maruti,Zen,2004.0,70000.0,150000,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,5.0
,Zest,2016.0,400000.0,24177,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5.0
Tata,Indigo,2012.0,185000.0,80000,Diesel,Individual,Manual,First Owner,16.1 kmpl,1405 CC,70 bhp,5.0
Maruti,Wagon,2006.0,140000.0,150000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
Renault,Lodgy,2015.0,415000.0,120000,Diesel,Individual,Manual,Second Owner,21.04 kmpl,1461 CC,83.8 bhp,7.0
Mahindra,Scorpio,2012.0,532000.0,121779,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,8.0
Maruti,,2017.0,600000.0,56000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0
Maruti,SX4,2008.0,150000.0,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.0 kmpl,1586 CC,104.68 bhp,5.0
Maruti,Swift,2018.0,459999.0,12000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Vitara,2017.0,800000.0,15381,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Mahindra,Bolero,2011.0,310000.0,5000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,7.0
Nissan,Terrano,2014.0,475000.0,40000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.5 bhp,5.0
Maruti,Wagon,2016.0,310000.0,35000,CNG,Individual,Manual,Second Owner,26.6 km/kg,998 CC,58.16 bhp,5.0
Maruti,Alto,2018.0,,10000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
Mahindra,XUV500,2019.0,1800000.0,10000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,7.0
Maruti,Swift,2018.0,640000.0,25000,Petrol,Individual,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Wagon,2017.0,,50000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5.0
Tata,Nexon,2018.0,600000.0,30000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5.0
Hyundai,Verna,2015.0,575000.0,23000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,5.0
Mahindra,Thar,2019.0,,15000,Diesel,Individual,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,6.0
Maruti,Wagon,,445000.0,5000,Petrol,Individual,Automatic,Second Owner,20.51 kmpl,998 CC,67 bhp,5.0
Maruti,Ertiga,2015.0,580000.0,15000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0
Hyundai,Creta,2020.0,1050000.0,20000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1396 CC,88.7 bhp,5.0
Ford,EcoSport,2015.0,600000.0,50000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0
Ford,Figo,2017.0,370000.0,40000,Petrol,Individual,Manual,Second Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0
Maruti,Zen,2007.0,150000.0,70000,Petrol,Individual,Manual,Third Owner,18.2 kmpl,1061 CC,64 bhp,5.0
Maruti,Celerio,2017.0,483000.0,15000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
Hyundai,Grand,2016.0,470000.0,10000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5.0
Maruti,Vitara,2018.0,950000.0,25000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Hyundai,,2013.0,450000.0,50000,Petrol,Individual,Manual,Third Owner,17.01 kmpl,1591 CC,121.3 bhp,5.0
Toyota,Etios,2011.0,345000.0,70000,Petrol,Individual,Manual,First Owner,17.6 kmpl,1496 CC,88.7 bhp,5.0
Maruti,Ignis,2020.0,600000.0,5000,Petrol,Individual,Automatic,First Owner,20.89 kmpl,1197 CC,81.80 bhp,5.0
Maruti,A-Star,2009.0,300000.0,60000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,66.1 bhp,5.0
Maruti,Zen,2007.0,160000.0,74800,Petrol,Individual,Manual,Second Owner,18.2 kmpl,998 CC,67.1 bhp,5.0
Maruti,800,2004.0,120000.0,80000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
Maruti,Eeco,2012.0,220000.0,270000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 CC,61.7 bhp,5.0
Hyundai,EON,2018.0,340000.0,120000,Petrol,Individual,Manual,First Owner,20.3 kmpl,998 CC,68.05 bhp,5.0
Honda,City,2007.0,138000.0,120000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,5.0
Maruti,Swift,2010.0,231000.0,80000,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1298 CC,85.8 bhp,5.0
Mahindra,XUV500,2013.0,800000.0,120000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,7.0
Mahindra,XUV300,2019.0,960000.0,20000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,108.6 bhp,5.0
Maruti,Wagon,2009.0,120000.0,70000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5.0
Maruti,,2012.0,270000.0,40000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
Maruti,Ritz,2011.0,200000.0,100000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,1197 CC,85.80 bhp,5.0
Maruti,Swift,2012.0,328000.0,123000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,5.0
